Term,Definition
3Dconnexion,A set of navigation tools used to control the current view of a model with a 3Dconnexion device.
3D mesh primitive,"Basic mesh objects such as a box, cone, cylinder, pyramid, wedge, sphere, and torus defined by faceted rather than smooth surfaces. (MESH)"
absolute coordinates,"Coordinate values measured relative to the coordinate system's origin point (0,0,0)."
ACB,For AutoCAD Color Book. The XML file format used to store color book data that can be used in AutoCAD-based products.
acquired point,An intermediate location used as a reference when you use the tracking or object snap tracking methods of locating a point.
acquisition marker,The temporary plus sign displayed at the location of an acquired point when you use the tracking or object snap tracking methods of locating a point.
action (AutoCAD on Windows only),The smallest task or user interaction that can be recorded with the Action Recorder.
Action bar,A toolbar-like interface that displays the actions associated with a parameter object.
action macro (AutoCAD on Windows only),A series of recorded actions that can be played back in the active drawing.
action macro file (AutoCAD on Windows only),A file that stores all the actions contained in an action macro. Action macro files have the file extensions .actm or .actmx.
Action tree (AutoCAD on Windows only),A control used to display the recorded actions in an action macro.
adaptive degradation,A method of managing graphics performance by turning off graphic features when performance falls below a specified number of frames per second.
adaptive sampling,A method to accelerate the anti-aliasing process within the bounds of the sample matrix size.
add-ins,"Libraries of content that extend the functionality of the product, created by third party developers."
adjacent cell selection,A selection of table cells that share at least one boundary with another cell in the same selection.
affine calibration,"A calibration method for digitizing tablets that provides an arbitrary linear transformation in 2D space, requiring three calibration points. (TABLET)"
alias,"A shortcut for a command entered at the Command prompt. For example, CP is an alias for COPY, and Z is an alias for ZOOM."
aliasing,"The effect of picture elements, or pixels, aligned as a diagonal or curved edge that appearing jagged or stepped."
aligned dimension,"A dimension that measures the distance between two points at any angle, with the dimension line parallel to the line connecting the definition points. (DIMALIGNED)"
alpha channel,A type of data found in 32-bit bitmap files that assigns transparency to the pixels in the image.
ambient color,The color reflected by an object when it is illuminated only by ambient light rather than direct light; the color of an object where it is in shadow.
ambient light,"Light that illuminates all surfaces of a 3D model with equal intensity, with no single source or direction and does not diminish over distance."
angular dimension,"A dimension that measures angles or arc segments and consists of text, extension lines, and leaders. (DIMANGULAR)"
angular unit,"The unit of measurement for an angle, which can be measured in decimal degrees, degrees/minutes/seconds, grads, and radians."
annotational constraint,A type of dimensional constraint that serves as a dimension object in addition to controlling the size of the geometry.
annotations,"Text, dimensions, tolerances, symbols, notes, and other types of explanatory symbols or objects."
annotation scale,"A setting saved with model space, layout viewports, and model views that controls how annotative objects are scaled and displayed."
annotative,"An object property assigned to objects used to annotate drawings, automating the process of scaling annotations in layout viewports and model space."
anonymous block,"An unnamed block created by several features, including associative and nonassociative dimensions."
anti-aliasing,A method that reduces aliasing by shading the pixels adjacent to the primary pixels that define a line or boundary.
Application menu,The Windows-based menu displayed when you click the Application button in the upper-left corner of the application window.
approximation points,"Point locations that a B-spline must pass near, within a fit tolerance."
